jahr	bezirk	kanton	typ	anzahl
2008	Bezirk Dorneck	SO	Gewerbe FZ	25
2009	Bezirk Dorneck	SO	Gewerbe FZ	28
2010	Bezirk Dorneck	SO	Gewerbe FZ	28
2011	Bezirk Dorneck	SO	Gewerbe FZ	24
2012	Bezirk Dorneck	SO	Gewerbe FZ	26
2013	Bezirk Dorneck	SO	Gewerbe FZ	31
2014	Bezirk Dorneck	SO	Gewerbe FZ	35
2015	Bezirk Dorneck	SO	Gewerbe FZ	36
2016	Bezirk Dorneck	SO	Gewerbe FZ	39
2017	Bezirk Dorneck	SO	Gewerbe FZ	44
2018	Bezirk Dorneck	SO	Gewerbe FZ	45
2019	Bezirk Dorneck	SO	Gewerbe FZ	50
2020	Bezirk Dorneck	SO	Gewerbe FZ	53
2021	Bezirk Dorneck	SO	Gewerbe FZ	57
2022	Bezirk Dorneck	SO	Gewerbe FZ	57
2023	Bezirk Dorneck	SO	Gewerbe FZ	56
1990	Bezirk Gäu	SO	Leichte Motorwagen	17106
1991	Bezirk Gäu	SO	Leichte Motorwagen	17109
1992	Bezirk Gäu	SO	Leichte Motorwagen	17110
1993	Bezirk Gäu	SO	Leichte Motorwagen	17115
1994	Bezirk Gäu	SO	Leichte Motorwagen	17115
1995	Bezirk Gäu	SO	Leichte Motorwagen	17116
1996	Bezirk Gäu	SO	Leichte Motorwagen	17116
1997	Bezirk Gäu	SO	Leichte Motorwagen	17121
1998	Bezirk Gäu	SO	Leichte Motorwagen	17125
1999	Bezirk Gäu	SO	Leichte Motorwagen	17126
2000	Bezirk Gäu	SO	Leichte Motorwagen	17127
2001	Bezirk Gäu	SO	Leichte Motorwagen	17128
2002	Bezirk Gäu	SO	Leichte Motorwagen	17127
2003	Bezirk Gäu	SO	Leichte Motorwagen	17124
2004	Bezirk Gäu	SO	Leichte Motorwagen	17126
2005	Bezirk Gäu	SO	Leichte Motorwagen	17128
2006	Bezirk Gäu	SO	Leichte Motorwagen	17129
2007	Bezirk Gäu	SO	Leichte Motorwagen	17132
2008	Bezirk Gäu	SO	Leichte Motorwagen	17133
2009	Bezirk Gäu	SO	Leichte Motorwagen	17138
2010	Bezirk Gäu	SO	Leichte Motorwagen	17139
2011	Bezirk Gäu	SO	Leichte Motorwagen	17141
2012	Bezirk Gäu	SO	Leichte Motorwagen	17143
2013	Bezirk Gäu	SO	Leichte Motorwagen	17147
2014	Bezirk Gäu	SO	Leichte Motorwagen	17150
2015	Bezirk Gäu	SO	Leichte Motorwagen	17153
2016	Bezirk Gäu	SO	Leichte Motorwagen	17154
2017	Bezirk Gäu	SO	Leichte Motorwagen	17157
2018	Bezirk Gäu	SO	Leichte Motorwagen	17159
2019	Bezirk Gäu	SO	Leichte Motorwagen	17162
2020	Bezirk Gäu	SO	Leichte Motorwagen	17162
2021	Bezirk Gäu	SO	Leichte Motorwagen	17167
2022	Bezirk Gäu	SO	Leichte Motorwagen	17171
2023	Bezirk Gäu	SO	Leichte Motorwagen	17173
1990	Bezirk Gäu	SO	Schwere Motorwagen	548
1991	Bezirk Gäu	SO	Schwere Motorwagen	550
1992	Bezirk Gäu	SO	Schwere Motorwagen	550
1993	Bezirk Gäu	SO	Schwere Motorwagen	554
1994	Bezirk Gäu	SO	Schwere Motorwagen	554
1995	Bezirk Gäu	SO	Schwere Motorwagen	557
1996	Bezirk Gäu	SO	Schwere Motorwagen	557
1997	Bezirk Gäu	SO	Schwere Motorwagen	561
1998	Bezirk Gäu	SO	Schwere Motorwagen	563
1999	Bezirk Gäu	SO	Schwere Motorwagen	564
2000	Bezirk Gäu	SO	Schwere Motorwagen	568
2001	Bezirk Gäu	SO	Schwere Motorwagen	570
2002	Bezirk Gäu	SO	Schwere Motorwagen	569
2003	Bezirk Gäu	SO	Schwere Motorwagen	574
2004	Bezirk Gäu	SO	Schwere Motorwagen	576
2005	Bezirk Gäu	SO	Schwere Motorwagen	577
2006	Bezirk Gäu	SO	Schwere Motorwagen	581
2007	Bezirk Gäu	SO	Schwere Motorwagen	581
2008	Bezirk Gäu	SO	Schwere Motorwagen	581
2009	Bezirk Gäu	SO	Schwere Motorwagen	583
2010	Bezirk Gäu	SO	Schwere Motorwagen	585
2011	Bezirk Gäu	SO	Schwere Motorwagen	589
2012	Bezirk Gäu	SO	Schwere Motorwagen	592
2013	Bezirk Gäu	SO	Schwere Motorwagen	593
2014	Bezirk Gäu	SO	Schwere Motorwagen	594
2015	Bezirk Gäu	SO	Schwere Motorwagen	598
2016	Bezirk Gäu	SO	Schwere Motorwagen	595
2017	Bezirk Gäu	SO	Schwere Motorwagen	595
2018	Bezirk Gäu	SO	Schwere Motorwagen	597
2019	Bezirk Gäu	SO	Schwere Motorwagen	601
2020	Bezirk Gäu	SO	Schwere Motorwagen	605
2021	Bezirk Gäu	SO	Schwere Motorwagen	610
2022	Bezirk Gäu	SO	Schwere Motorwagen	615
2023	Bezirk Gäu	SO	Schwere Motorwagen	619
1990	Bezirk Gäu	SO	Anhänger	1822
1991	Bezirk Gäu	SO	Anhänger	1827
1992	Bezirk Gäu	SO	Anhänger	1823
1993	Bezirk Gäu	SO	Anhänger	1826
1994	Bezirk Gäu	SO	Anhänger	1826
1995	Bezirk Gäu	SO	Anhänger	1826
1996	Bezirk Gäu	SO	Anhänger	1831
1997	Bezirk Gäu	SO	Anhänger	1833
1998	Bezirk Gäu	SO	Anhänger	1837
1999	Bezirk Gäu	SO	Anhänger	1839
2000	Bezirk Gäu	SO	Anhänger	1835
2001	Bezirk Gäu	SO	Anhänger	1837
2002	Bezirk Gäu	SO	Anhänger	1839
2003	Bezirk Gäu	SO	Anhänger	1844
2004	Bezirk Gäu	SO	Anhänger	1846
2005	Bezirk Gäu	SO	Anhänger	1850
2006	Bezirk Gäu	SO	Anhänger	1853
2007	Bezirk Gäu	SO	Anhänger	1857
2008	Bezirk Gäu	SO	Anhänger	1861
2009	Bezirk Gäu	SO	Anhänger	1862
2010	Bezirk Gäu	SO	Anhänger	1867
2011	Bezirk Gäu	SO	Anhänger	1872
2012	Bezirk Gäu	SO	Anhänger	1872
2013	Bezirk Gäu	SO	Anhänger	1872
2014	Bezirk Gäu	SO	Anhänger	1877
2015	Bezirk Gäu	SO	Anhänger	1882
2016	Bezirk Gäu	SO	Anhänger	1879
2017	Bezirk Gäu	SO	Anhänger	1879
2018	Bezirk Gäu	SO	Anhänger	1884
2019	Bezirk Gäu	SO	Anhänger	1884
2020	Bezirk Gäu	SO	Anhänger	1884
2021	Bezirk Gäu	SO	Anhänger	1889
2022	Bezirk Gäu	SO	Anhänger	1889
2023	Bezirk Gäu	SO	Anhänger	1891
1990	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	138
1991	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	143
1992	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	147
1993	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	151
1994	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	156
1995	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	156
1996	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	159
1997	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	163
1998	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	165
1999	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	168
2000	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	173
2001	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	177
2002	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	179
2003	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	184
2004	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	187
2005	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	192
2006	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	197
2007	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	199
2008	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	204
2009	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	209
2010	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	213
2011	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	215
2012	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	218
2013	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	214
2014	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	214
2015	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	217
2016	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	220
2017	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	225
2018	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	228
2019	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	233
2020	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	233
2021	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	238
2022	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	233
2023	Bezirk Gäu	SO	Landw. FZ Ind. Trak.	238
1990	Bezirk Gäu	SO	Motorräder	1247
1991	Bezirk Gäu	SO	Motorräder	1249
1992	Bezirk Gäu	SO	Motorräder	1251
1993	Bezirk Gäu	SO	Motorräder	1247
1994	Bezirk Gäu	SO	Motorräder	1245
1995	Bezirk Gäu	SO	Motorräder	1246
1996	Bezirk Gäu	SO	Motorräder	1251
1997	Bezirk Gäu	SO	Motorräder	1254
1998	Bezirk Gäu	SO	Motorräder	1259
1999	Bezirk Gäu	SO	Motorräder	1259
2000	Bezirk Gäu	SO	Motorräder	1260
2001	Bezirk Gäu	SO	Motorräder	1262
2002	Bezirk Gäu	SO	Motorräder	1265
2003	Bezirk Gäu	SO	Motorräder	1265
2004	Bezirk Gäu	SO	Motorräder	1260
2005	Bezirk Gäu	SO	Motorräder	1263
2006	Bezirk Gäu	SO	Motorräder	1266
2007	Bezirk Gäu	SO	Motorräder	1270
2008	Bezirk Gäu	SO	Motorräder	1271
2009	Bezirk Gäu	SO	Motorräder	1271
2010	Bezirk Gäu	SO	Motorräder	1273
2011	Bezirk Gäu	SO	Motorräder	1274
2012	Bezirk Gäu	SO	Motorräder	1278
2013	Bezirk Gäu	SO	Motorräder	1278
2014	Bezirk Gäu	SO	Motorräder	1280
2015	Bezirk Gäu	SO	Motorräder	1283
2016	Bezirk Gäu	SO	Motorräder	1288
2017	Bezirk Gäu	SO	Motorräder	1288
2018	Bezirk Gäu	SO	Motorräder	1289
2019	Bezirk Gäu	SO	Motorräder	1294
2020	Bezirk Gäu	SO	Motorräder	1296
2021	Bezirk Gäu	SO	Motorräder	1296
2022	Bezirk Gäu	SO	Motorräder	1297
2023	Bezirk Gäu	SO	Motorräder	1297
1990	Bezirk Gäu	SO	Klein-Motorräder	-65
1991	Bezirk Gäu	SO	Klein-Motorräder	0
1992	Bezirk Gäu	SO	Klein-Motorräder	2
1993	Bezirk Gäu	SO	Klein-Motorräder	7
1994	Bezirk Gäu	SO	Klein-Motorräder	10
1995	Bezirk Gäu	SO	Klein-Motorräder	13
1996	Bezirk Gäu	SO	Klein-Motorräder	16
1997	Bezirk Gäu	SO	Klein-Motorräder	16
1998	Bezirk Gäu	SO	Klein-Motorräder	13
1999	Bezirk Gäu	SO	Klein-Motorräder	18
2000	Bezirk Gäu	SO	Klein-Motorräder	22
2001	Bezirk Gäu	SO	Klein-Motorräder	24
2002	Bezirk Gäu	SO	Klein-Motorräder	26
2003	Bezirk Gäu	SO	Klein-Motorräder	29
2004	Bezirk Gäu	SO	Klein-Motorräder	30
2005	Bezirk Gäu	SO	Klein-Motorräder	28
2006	Bezirk Gäu	SO	Klein-Motorräder	31
2007	Bezirk Gäu	SO	Klein-Motorräder	28
2008	Bezirk Gäu	SO	Klein-Motorräder	31
2009	Bezirk Gäu	SO	Klein-Motorräder	27
2010	Bezirk Gäu	SO	Klein-Motorräder	32
2011	Bezirk Gäu	SO	Klein-Motorräder	32
2012	Bezirk Gäu	SO	Klein-Motorräder	35
2013	Bezirk Gäu	SO	Klein-Motorräder	37
2014	Bezirk Gäu	SO	Klein-Motorräder	42
2015	Bezirk Gäu	SO	Klein-Motorräder	46
2016	Bezirk Gäu	SO	Klein-Motorräder	50
2017	Bezirk Gäu	SO	Klein-Motorräder	48
2018	Bezirk Gäu	SO	Klein-Motorräder	49
2019	Bezirk Gäu	SO	Klein-Motorräder	46
2020	Bezirk Gäu	SO	Klein-Motorräder	50
2021	Bezirk Gäu	SO	Klein-Motorräder	55
2022	Bezirk Gäu	SO	Klein-Motorräder	60
2023	Bezirk Gäu	SO	Klein-Motorräder	60
1990	Bezirk Gäu	SO	Gewerbe FZ	25
1991	Bezirk Gäu	SO	Gewerbe FZ	30
1992	Bezirk Gäu	SO	Gewerbe FZ	34
1993	Bezirk Gäu	SO	Gewerbe FZ	33
1994	Bezirk Gäu	SO	Gewerbe FZ	31
1995	Bezirk Gäu	SO	Gewerbe FZ	31
1996	Bezirk Gäu	SO	Gewerbe FZ	31
1997	Bezirk Gäu	SO	Gewerbe FZ	35
1998	Bezirk Gäu	SO	Gewerbe FZ	36
1999	Bezirk Gäu	SO	Gewerbe FZ	31
2000	Bezirk Gäu	SO	Gewerbe FZ	33
2001	Bezirk Gäu	SO	Gewerbe FZ	34
2002	Bezirk Gäu	SO	Gewerbe FZ	35
2003	Bezirk Gäu	SO	Gewerbe FZ	34
2004	Bezirk Gäu	SO	Gewerbe FZ	38
2005	Bezirk Gäu	SO	Gewerbe FZ	43
2006	Bezirk Gäu	SO	Gewerbe FZ	44
2007	Bezirk Gäu	SO	Gewerbe FZ	46
2008	Bezirk Gäu	SO	Gewerbe FZ	51
2009	Bezirk Gäu	SO	Gewerbe FZ	52
2010	Bezirk Gäu	SO	Gewerbe FZ	57
2011	Bezirk Gäu	SO	Gewerbe FZ	58
2012	Bezirk Gäu	SO	Gewerbe FZ	58
2013	Bezirk Gäu	SO	Gewerbe FZ	56
2014	Bezirk Gäu	SO	Gewerbe FZ	61
2015	Bezirk Gäu	SO	Gewerbe FZ	64
2016	Bezirk Gäu	SO	Gewerbe FZ	68
2017	Bezirk Gäu	SO	Gewerbe FZ	68
2018	Bezirk Gäu	SO	Gewerbe FZ	72
2019	Bezirk Gäu	SO	Gewerbe FZ	73
2020	Bezirk Gäu	SO	Gewerbe FZ	73
2021	Bezirk Gäu	SO	Gewerbe FZ	76
2022	Bezirk Gäu	SO	Gewerbe FZ	75
2023	Bezirk Gäu	SO	Gewerbe FZ	80
1990	Bezirk Gösgen	SO	Leichte Motorwagen	15166
1991	Bezirk Gösgen	SO	Leichte Motorwagen	15168
1992	Bezirk Gösgen	SO	Leichte Motorwagen	15168
1993	Bezirk Gösgen	SO	Leichte Motorwagen	15169
1994	Bezirk Gösgen	SO	Leichte Motorwagen	15172
1995	Bezirk Gösgen	SO	Leichte Motorwagen	15175
1996	Bezirk Gösgen	SO	Leichte Motorwagen	15177
1997	Bezirk Gösgen	SO	Leichte Motorwagen	15180
1998	Bezirk Gösgen	SO	Leichte Motorwagen	15184
1999	Bezirk Gösgen	SO	Leichte Motorwagen	15188
2000	Bezirk Gösgen	SO	Leichte Motorwagen	15193
2001	Bezirk Gösgen	SO	Leichte Motorwagen	15191
2002	Bezirk Gösgen	SO	Leichte Motorwagen	15194
2003	Bezirk Gösgen	SO	Leichte Motorwagen	15197
2004	Bezirk Gösgen	SO	Leichte Motorwagen	15199
2005	Bezirk Gösgen	SO	Leichte Motorwagen	15200
2006	Bezirk Gösgen	SO	Leichte Motorwagen	15202
2007	Bezirk Gösgen	SO	Leichte Motorwagen	15205
2008	Bezirk Gösgen	SO	Leichte Motorwagen	15209
2009	Bezirk Gösgen	SO	Leichte Motorwagen	15214
2010	Bezirk Gösgen	SO	Leichte Motorwagen	15215
2011	Bezirk Gösgen	SO	Leichte Motorwagen	15219
2012	Bezirk Gösgen	SO	Leichte Motorwagen	15223
2013	Bezirk Gösgen	SO	Leichte Motorwagen	15223
2014	Bezirk Gösgen	SO	Leichte Motorwagen	15226
2015	Bezirk Gösgen	SO	Leichte Motorwagen	15231
2016	Bezirk Gösgen	SO	Leichte Motorwagen	15231
2017	Bezirk Gösgen	SO	Leichte Motorwagen	15234
2018	Bezirk Gösgen	SO	Leichte Motorwagen	15236
2019	Bezirk Gösgen	SO	Leichte Motorwagen	15233
2020	Bezirk Gösgen	SO	Leichte Motorwagen	15233
2021	Bezirk Gösgen	SO	Leichte Motorwagen	15236
2022	Bezirk Gösgen	SO	Leichte Motorwagen	15231
2023	Bezirk Gösgen	SO	Leichte Motorwagen	15234
1990	Bezirk Gösgen	SO	Schwere Motorwagen	-193
1991	Bezirk Gösgen	SO	Schwere Motorwagen	0
1992	Bezirk Gösgen	SO	Schwere Motorwagen	5
1993	Bezirk Gösgen	SO	Schwere Motorwagen	9
1994	Bezirk Gösgen	SO	Schwere Motorwagen	12
1995	Bezirk Gösgen	SO	Schwere Motorwagen	13
1996	Bezirk Gösgen	SO	Schwere Motorwagen	12
1997	Bezirk Gösgen	SO	Schwere Motorwagen	12
1998	Bezirk Gösgen	SO	Schwere Motorwagen	14
1999	Bezirk Gösgen	SO	Schwere Motorwagen	13
2000	Bezirk Gösgen	SO	Schwere Motorwagen	15
2001	Bezirk Gösgen	SO	Schwere Motorwagen	19
2002	Bezirk Gösgen	SO	Schwere Motorwagen	24
2003	Bezirk Gösgen	SO	Schwere Motorwagen	28
2004	Bezirk Gösgen	SO	Schwere Motorwagen	32
2005	Bezirk Gösgen	SO	Schwere Motorwagen	29
2006	Bezirk Gösgen	SO	Schwere Motorwagen	33
2007	Bezirk Gösgen	SO	Schwere Motorwagen	34
2008	Bezirk Gösgen	SO	Schwere Motorwagen	37
2009	Bezirk Gösgen	SO	Schwere Motorwagen	38
2010	Bezirk Gösgen	SO	Schwere Motorwagen	39
2011	Bezirk Gösgen	SO	Schwere Motorwagen	43
2012	Bezirk Gösgen	SO	Schwere Motorwagen	46
2013	Bezirk Gösgen	SO	Schwere Motorwagen	47
2014	Bezirk Gösgen	SO	Schwere Motorwagen	52
2015	Bezirk Gösgen	SO	Schwere Motorwagen	53
2016	Bezirk Gösgen	SO	Schwere Motorwagen	54
2017	Bezirk Gösgen	SO	Schwere Motorwagen	57
2018	Bezirk Gösgen	SO	Schwere Motorwagen	59
2019	Bezirk Gösgen	SO	Schwere Motorwagen	59
2020	Bezirk Gösgen	SO	Schwere Motorwagen	61
2021	Bezirk Gösgen	SO	Schwere Motorwagen	58
2022	Bezirk Gösgen	SO	Schwere Motorwagen	63
2023	Bezirk Gösgen	SO	Schwere Motorwagen	65
1990	Bezirk Gösgen	SO	Anhänger	966
1991	Bezirk Gösgen	SO	Anhänger	968
1992	Bezirk Gösgen	SO	Anhänger	972
1993	Bezirk Gösgen	SO	Anhänger	975
1994	Bezirk Gösgen	SO	Anhänger	977
1995	Bezirk Gösgen	SO	Anhänger	978
1996	Bezirk Gösgen	SO	Anhänger	981
1997	Bezirk Gösgen	SO	Anhänger	986
1998	Bezirk Gösgen	SO	Anhänger	989
1999	Bezirk Gösgen	SO	Anhänger	990
2000	Bezirk Gösgen	SO	Anhänger	995
2001	Bezirk Gösgen	SO	Anhänger	995
2002	Bezirk Gösgen	SO	Anhänger	996
2003	Bezirk Gösgen	SO	Anhänger	1000
2004	Bezirk Gösgen	SO	Anhänger	1002
2005	Bezirk Gösgen	SO	Anhänger	1006
2006	Bezirk Gösgen	SO	Anhänger	1001
2007	Bezirk Gösgen	SO	Anhänger	1006
2008	Bezirk Gösgen	SO	Anhänger	1006
2009	Bezirk Gösgen	SO	Anhänger	1011
2010	Bezirk Gösgen	SO	Anhänger	1012
2011	Bezirk Gösgen	SO	Anhänger	1012
2012	Bezirk Gösgen	SO	Anhänger	1011
2013	Bezirk Gösgen	SO	Anhänger	1011
2014	Bezirk Gösgen	SO	Anhänger	1016
2015	Bezirk Gösgen	SO	Anhänger	1019
2016	Bezirk Gösgen	SO	Anhänger	1018
2017	Bezirk Gösgen	SO	Anhänger	1023
2018	Bezirk Gösgen	SO	Anhänger	1023
2019	Bezirk Gösgen	SO	Anhänger	1023
2020	Bezirk Gösgen	SO	Anhänger	1025
2021	Bezirk Gösgen	SO	Anhänger	1026
2022	Bezirk Gösgen	SO	Anhänger	1028
2023	Bezirk Gösgen	SO	Anhänger	1031
1990	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	202
1991	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	202
1992	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	202
1993	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	206
1994	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	211
1995	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	213
1996	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	216
1997	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	218
1998	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	220
1999	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	221
2000	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	225
2001	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	225
2002	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	227
2003	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	230
2004	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	232
2005	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	237
2006	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	239
2007	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	234
2008	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	238
2009	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	238
2010	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	233
2011	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	235
2012	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	238
2013	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	241
2014	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	243
2015	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	242
2016	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	246
2017	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	241
2018	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	240
2019	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	243
2020	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	245
2021	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	245
2022	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	246
2023	Bezirk Gösgen	SO	Landw. FZ Ind. Trak.	249
1990	Bezirk Gösgen	SO	Motorräder	1884
1991	Bezirk Gösgen	SO	Motorräder	1888
1992	Bezirk Gösgen	SO	Motorräder	1892
1993	Bezirk Gösgen	SO	Motorräder	1894
1994	Bezirk Gösgen	SO	Motorräder	1897
1995	Bezirk Gösgen	SO	Motorräder	1898
1996	Bezirk Gösgen	SO	Motorräder	1903
1997	Bezirk Gösgen	SO	Motorräder	1906
1998	Bezirk Gösgen	SO	Motorräder	1910
1999	Bezirk Gösgen	SO	Motorräder	1913
2000	Bezirk Gösgen	SO	Motorräder	1916
2001	Bezirk Gösgen	SO	Motorräder	1915
2002	Bezirk Gösgen	SO	Motorräder	1918
2003	Bezirk Gösgen	SO	Motorräder	1918
2004	Bezirk Gösgen	SO	Motorräder	1923
2005	Bezirk Gösgen	SO	Motorräder	1927
2006	Bezirk Gösgen	SO	Motorräder	1927
2007	Bezirk Gösgen	SO	Motorräder	1925
2008	Bezirk Gösgen	SO	Motorräder	1927
2009	Bezirk Gösgen	SO	Motorräder	1924
2010	Bezirk Gösgen	SO	Motorräder	1929
2011	Bezirk Gösgen	SO	Motorräder	1930
2012	Bezirk Gösgen	SO	Motorräder	1934
2013	Bezirk Gösgen	SO	Motorräder	1937
2014	Bezirk Gösgen	SO	Motorräder	1942
2015	Bezirk Gösgen	SO	Motorräder	1945
2016	Bezirk Gösgen	SO	Motorräder	1945
2017	Bezirk Gösgen	SO	Motorräder	1945
2018	Bezirk Gösgen	SO	Motorräder	1949
2019	Bezirk Gösgen	SO	Motorräder	1951
2020	Bezirk Gösgen	SO	Motorräder	1953
2021	Bezirk Gösgen	SO	Motorräder	1955
2022	Bezirk Gösgen	SO	Motorräder	1954
2023	Bezirk Gösgen	SO	Motorräder	1954
1990	Bezirk Gösgen	SO	Klein-Motorräder	-253
1991	Bezirk Gösgen	SO	Klein-Motorräder	0
1992	Bezirk Gösgen	SO	Klein-Motorräder	2
1993	Bezirk Gösgen	SO	Klein-Motorräder	2
1994	Bezirk Gösgen	SO	Klein-Motorräder	4
1995	Bezirk Gösgen	SO	Klein-Motorräder	7
1996	Bezirk Gösgen	SO	Klein-Motorräder	8
1997	Bezirk Gösgen	SO	Klein-Motorräder	11
1998	Bezirk Gösgen	SO	Klein-Motorräder	13
1999	Bezirk Gösgen	SO	Klein-Motorräder	13
2000	Bezirk Gösgen	SO	Klein-Motorräder	8
2001	Bezirk Gösgen	SO	Klein-Motorräder	10
2002	Bezirk Gösgen	SO	Klein-Motorräder	9
2003	Bezirk Gösgen	SO	Klein-Motorräder	9
2004	Bezirk Gösgen	SO	Klein-Motorräder	11
2005	Bezirk Gösgen	SO	Klein-Motorräder	14
2006	Bezirk Gösgen	SO	Klein-Motorräder	17
2007	Bezirk Gösgen	SO	Klein-Motorräder	18
2008	Bezirk Gösgen	SO	Klein-Motorräder	16
2009	Bezirk Gösgen	SO	Klein-Motorräder	18
2010	Bezirk Gösgen	SO	Klein-Motorräder	23
2011	Bezirk Gösgen	SO	Klein-Motorräder	26
2012	Bezirk Gösgen	SO	Klein-Motorräder	23
2013	Bezirk Gösgen	SO	Klein-Motorräder	23
2014	Bezirk Gösgen	SO	Klein-Motorräder	28
2015	Bezirk Gösgen	SO	Klein-Motorräder	30
2016	Bezirk Gösgen	SO	Klein-Motorräder	31
2017	Bezirk Gösgen	SO	Klein-Motorräder	32
2018	Bezirk Gösgen	SO	Klein-Motorräder	37
2019	Bezirk Gösgen	SO	Klein-Motorräder	39
2020	Bezirk Gösgen	SO	Klein-Motorräder	39
2021	Bezirk Gösgen	SO	Klein-Motorräder	39
2022	Bezirk Gösgen	SO	Klein-Motorräder	43
2023	Bezirk Gösgen	SO	Klein-Motorräder	46
1990	Bezirk Gösgen	SO	Gewerbe FZ	-162
1991	Bezirk Gösgen	SO	Gewerbe FZ	0
1992	Bezirk Gösgen	SO	Gewerbe FZ	5
1993	Bezirk Gösgen	SO	Gewerbe FZ	9
1994	Bezirk Gösgen	SO	Gewerbe FZ	7
1995	Bezirk Gösgen	SO	Gewerbe FZ	4
1996	Bezirk Gösgen	SO	Gewerbe FZ	8
1997	Bezirk Gösgen	SO	Gewerbe FZ	13
1998	Bezirk Gösgen	SO	Gewerbe FZ	17
1999	Bezirk Gösgen	SO	Gewerbe FZ	17
2000	Bezirk Gösgen	SO	Gewerbe FZ	17
2001	Bezirk Gösgen	SO	Gewerbe FZ	21
2002	Bezirk Gösgen	SO	Gewerbe FZ	16
2003	Bezirk Gösgen	SO	Gewerbe FZ	16
2004	Bezirk Gösgen	SO	Gewerbe FZ	15
2005	Bezirk Gösgen	SO	Gewerbe FZ	17
2006	Bezirk Gösgen	SO	Gewerbe FZ	19
2007	Bezirk Gösgen	SO	Gewerbe FZ	20
2008	Bezirk Gösgen	SO	Gewerbe FZ	25
2009	Bezirk Gösgen	SO	Gewerbe FZ	27
2010	Bezirk Gösgen	SO	Gewerbe FZ	31
2011	Bezirk Gösgen	SO	Gewerbe FZ	35
2012	Bezirk Gösgen	SO	Gewerbe FZ	30
2013	Bezirk Gösgen	SO	Gewerbe FZ	30
2014	Bezirk Gösgen	SO	Gewerbe FZ	32
