jahr;bezirk;kanton;typ;anzahl
2004;Gäu;SO;Anhänger;1416
2005;Gäu;SO;Anhänger;1430
2006;Gäu;SO;Anhänger;1453
2007;Gäu;SO;Anhänger;1431
2008;Gäu;SO;Anhänger;1453
2009;Gäu;SO;Anhänger;1449
2010;Gäu;SO;Anhänger;1489
2011;Gäu;SO;Anhänger;1519
2012;Gäu;SO;Anhänger;1549
2013;Gäu;SO;Anhänger;1586
2014;Gäu;SO;Anhänger;1580
2015;Gäu;SO;Anhänger;1608
2016;Gäu;SO;Anhänger;1628
2017;Gäu;SO;Anhänger;1667
2018;Gäu;SO;Anhänger;1704
2019;Gäu;SO;Anhänger;1715
2020;Gäu;SO;Anhänger;1699
2021;Gäu;SO;Anhänger;1732
2022;Gäu;SO;Anhänger;1756
2023;Gäu;SO;Anhänger;1771
1990;Gäu;SO;Landw. FZ Ind. Trak.;239
1991;Gäu;SO;Landw. FZ Ind. Trak.;240
1992;Gäu;SO;Landw. FZ Ind. Trak.;235
1993;Gäu;SO;Landw. FZ Ind. Trak.;240
1994;Gäu;SO;Landw. FZ Ind. Trak.;235
1995;Gäu;SO;Landw. FZ Ind. Trak.;229
1996;Gäu;SO;Landw. FZ Ind. Trak.;235
1997;Gäu;SO;Landw. FZ Ind. Trak.;244
1998;Gäu;SO;Landw. FZ Ind. Trak.;251
1999;Gäu;SO;Landw. FZ Ind. Trak.;258
2000;Gäu;SO;Landw. FZ Ind. Trak.;254
2001;Gäu;SO;Landw. FZ Ind. Trak.;251
2002;Gäu;SO;Landw. FZ Ind. Trak.;258
2003;Gäu;SO;Landw. FZ Ind. Trak.;264
2004;Gäu;SO;Landw. FZ Ind. Trak.;261
2005;Gäu;SO;Landw. FZ Ind. Trak.;266
2006;Gäu;SO;Landw. FZ Ind. Trak.;268
2007;Gäu;SO;Landw. FZ Ind. Trak.;277
2008;Gäu;SO;Landw. FZ Ind. Trak.;286
2009;Gäu;SO;Landw. FZ Ind. Trak.;290
2010;Gäu;SO;Landw. FZ Ind. Trak.;296
2011;Gäu;SO;Landw. FZ Ind. Trak.;302
2012;Gäu;SO;Landw. FZ Ind. Trak.;304
2013;Gäu;SO;Landw. FZ Ind. Trak.;315
2014;Gäu;SO;Landw. FZ Ind. Trak.;327
2015;Gäu;SO;Landw. FZ Ind. Trak.;336
2016;Gäu;SO;Landw. FZ Ind. Trak.;345
2017;Gäu;SO;Landw. FZ Ind. Trak.;353
2018;Gäu;SO;Landw. FZ Ind. Trak.;359
2019;Gäu;SO;Landw. FZ Ind. Trak.;362
2020;Gäu;SO;Landw. FZ Ind. Trak.;370
2021;Gäu;SO;Landw. FZ Ind. Trak.;374
2022;Gäu;SO;Landw. FZ Ind. Trak.;380
2023;Gäu;SO;Landw. FZ Ind. Trak.;385
1990;Gäu;SO;Motorräder;793
1991;Gäu;SO;Motorräder;782
1992;Gäu;SO;Motorräder;798
1993;Gäu;SO;Motorräder;788
1994;Gäu;SO;Motorräder;818
1995;Gäu;SO;Motorräder;844
1996;Gäu;SO;Motorräder;829
1997;Gäu;SO;Motorräder;819
1998;Gäu;SO;Motorräder;835
1999;Gäu;SO;Motorräder;853
2000;Gäu;SO;Motorräder;880
2001;Gäu;SO;Motorräder;899
2002;Gäu;SO;Motorräder;920
2003;Gäu;SO;Motorräder;904
2004;Gäu;SO;Motorräder;890
2005;Gäu;SO;Motorräder;882
2006;Gäu;SO;Motorräder;908
2007;Gäu;SO;Motorräder;933
2008;Gäu;SO;Motorräder;955
2009;Gäu;SO;Motorräder;967
2010;Gäu;SO;Motorräder;987
2011;Gäu;SO;Motorräder;1007
2012;Gäu;SO;Motorräder;1034
2013;Gäu;SO;Motorräder;1055
2014;Gäu;SO;Motorräder;1037
2015;Gäu;SO;Motorräder;1061
2016;Gäu;SO;Motorräder;1088
2017;Gäu;SO;Motorräder;1107
2018;Gäu;SO;Motorräder;1125
2019;Gäu;SO;Motorräder;1150
2020;Gäu;SO;Motorräder;1135
2021;Gäu;SO;Motorräder;1128
2022;Gäu;SO;Motorräder;1149
2023;Gäu;SO;Motorräder;1169
1990;Gäu;SO;Klein-Motorräder;137
1991;Gäu;SO;Klein-Motorräder;143
1992;Gäu;SO;Klein-Motorräder;141
1993;Gäu;SO;Klein-Motorräder;144
1994;Gäu;SO;Klein-Motorräder;148
1995;Gäu;SO;Klein-Motorräder;152
1996;Gäu;SO;Klein-Motorräder;156
1997;Gäu;SO;Klein-Motorräder;159
1998;Gäu;SO;Klein-Motorräder;163
1999;Gäu;SO;Klein-Motorräder;167
2000;Gäu;SO;Klein-Motorräder;172
2001;Gäu;SO;Klein-Motorräder;177
2002;Gäu;SO;Klein-Motorräder;182
2003;Gäu;SO;Klein-Motorräder;188
2004;Gäu;SO;Klein-Motorräder;192
2005;Gäu;SO;Klein-Motorräder;195
2006;Gäu;SO;Klein-Motorräder;192
2007;Gäu;SO;Klein-Motorräder;194
2008;Gäu;SO;Klein-Motorräder;200
2009;Gäu;SO;Klein-Motorräder;204
2010;Gäu;SO;Klein-Motorräder;208
2011;Gäu;SO;Klein-Motorräder;210
2012;Gäu;SO;Klein-Motorräder;206
2013;Gäu;SO;Klein-Motorräder;210
2014;Gäu;SO;Klein-Motorräder;215
2015;Gäu;SO;Klein-Motorräder;220
2016;Gäu;SO;Klein-Motorräder;223
2017;Gäu;SO;Klein-Motorräder;226
2018;Gäu;SO;Klein-Motorräder;223
2019;Gäu;SO;Klein-Motorräder;220
2020;Gäu;SO;Klein-Motorräder;224
2021;Gäu;SO;Klein-Motorräder;229
2022;Gäu;SO;Klein-Motorräder;233
2023;Gäu;SO;Klein-Motorräder;234
1990;Gäu;SO;Gewerbe FZ;182
1991;Gäu;SO;Gewerbe FZ;190
1992;Gäu;SO;Gewerbe FZ;196
1993;Gäu;SO;Gewerbe FZ;203
1994;Gäu;SO;Gewerbe FZ;208
1995;Gäu;SO;Gewerbe FZ;213
1996;Gäu;SO;Gewerbe FZ;209
1997;Gäu;SO;Gewerbe FZ;214
1998;Gäu;SO;Gewerbe FZ;211
1999;Gäu;SO;Gewerbe FZ;215
2000;Gäu;SO;Gewerbe FZ;222
2001;Gäu;SO;Gewerbe FZ;228
2002;Gäu;SO;Gewerbe FZ;225
2003;Gäu;SO;Gewerbe FZ;222
2004;Gäu;SO;Gewerbe FZ;230
2005;Gäu;SO;Gewerbe FZ;239
2006;Gäu;SO;Gewerbe FZ;241
2007;Gäu;SO;Gewerbe FZ;247
2008;Gäu;SO;Gewerbe FZ;254
2009;Gäu;SO;Gewerbe FZ;259
2010;Gäu;SO;Gewerbe FZ;257
2011;Gäu;SO;Gewerbe FZ;262
2012;Gäu;SO;Gewerbe FZ;269
2013;Gäu;SO;Gewerbe FZ;273
2014;Gäu;SO;Gewerbe FZ;272
2015;Gäu;SO;Gewerbe FZ;277
2016;Gäu;SO;Gewerbe FZ;280
2017;Gäu;SO;Gewerbe FZ;285
2018;Gäu;SO;Gewerbe FZ;286
2019;Gäu;SO;Gewerbe FZ;291
2020;Gäu;SO;Gewerbe FZ;297
2021;Gäu;SO;Gewerbe FZ;299
2022;Gäu;SO;Gewerbe FZ;307
2023;Gäu;SO;Gewerbe FZ;310
1990;Gösgen;SO;Leichte Motorwagen;7753
1991;Gösgen;SO;Leichte Motorwagen;7848
1992;Gösgen;SO;Leichte Motorwagen;8102
1993;Gösgen;SO;Leichte Motorwagen;8329
1994;Gösgen;SO;Leichte Motorwagen;8502
1995;Gösgen;SO;Leichte Motorwagen;8782
1996;Gösgen;SO;Leichte Motorwagen;9140
1997;Gösgen;SO;Leichte Motorwagen;9341
1998;Gösgen;SO;Leichte Motorwagen;9454
1999;Gösgen;SO;Leichte Motorwagen;9697
2000;Gösgen;SO;Leichte Motorwagen;9854
2001;Gösgen;SO;Leichte Motorwagen;10040
2002;Gösgen;SO;Leichte Motorwagen;10240
2003;Gösgen;SO;Leichte Motorwagen;10525
2004;Gösgen;SO;Leichte Motorwagen;10672
2005;Gösgen;SO;Leichte Motorwagen;10855
2006;Gösgen;SO;Leichte Motorwagen;11143
2007;Gösgen;SO;Leichte Motorwagen;11361
2008;Gösgen;SO;Leichte Motorwagen;11587
2009;Gösgen;SO;Leichte Motorwagen;11760
2010;Gösgen;SO;Leichte Motorwagen;12026
2011;Gösgen;SO;Leichte Motorwagen;12303
2012;Gösgen;SO;Leichte Motorwagen;12512
2013;Gösgen;SO;Leichte Motorwagen;12722
2014;Gösgen;SO;Leichte Motorwagen;13022
2015;Gösgen;SO;Leichte Motorwagen;13120
2016;Gösgen;SO;Leichte Motorwagen;13245
2017;Gösgen;SO;Leichte Motorwagen;13370
2018;Gösgen;SO;Leichte Motorwagen;13594
2019;Gösgen;SO;Leichte Motorwagen;13883
2020;Gösgen;SO;Leichte Motorwagen;14094
2021;Gösgen;SO;Leichte Motorwagen;14387
2022;Gösgen;SO;Leichte Motorwagen;14545
2023;Gösgen;SO;Leichte Motorwagen;14595
1990;Gösgen;SO;Schwere Motorwagen;73
1991;Gösgen;SO;Schwere Motorwagen;76
1992;Gösgen;SO;Schwere Motorwagen;77
1993;Gösgen;SO;Schwere Motorwagen;79
1994;Gösgen;SO;Schwere Motorwagen;81
1995;Gösgen;SO;Schwere Motorwagen;82
1996;Gösgen;SO;Schwere Motorwagen;85
1997;Gösgen;SO;Schwere Motorwagen;83
1998;Gösgen;SO;Schwere Motorwagen;85
1999;Gösgen;SO;Schwere Motorwagen;86
2000;Gösgen;SO;Schwere Motorwagen;84
2001;Gösgen;SO;Schwere Motorwagen;86
2002;Gösgen;SO;Schwere Motorwagen;87
2003;Gösgen;SO;Schwere Motorwagen;89
2004;Gösgen;SO;Schwere Motorwagen;91
2005;Gösgen;SO;Schwere Motorwagen;92
2006;Gösgen;SO;Schwere Motorwagen;95
2007;Gösgen;SO;Schwere Motorwagen;96
2008;Gösgen;SO;Schwere Motorwagen;97
2009;Gösgen;SO;Schwere Motorwagen;99
2010;Gösgen;SO;Schwere Motorwagen;100
2011;Gösgen;SO;Schwere Motorwagen;101
2012;Gösgen;SO;Schwere Motorwagen;99
2013;Gösgen;SO;Schwere Motorwagen;101
2014;Gösgen;SO;Schwere Motorwagen;103
2015;Gösgen;SO;Schwere Motorwagen;105
2016;Gösgen;SO;Schwere Motorwagen;106
2017;Gösgen;SO;Schwere Motorwagen;107
2018;Gösgen;SO;Schwere Motorwagen;107
2019;Gösgen;SO;Schwere Motorwagen;109
2020;Gösgen;SO;Schwere Motorwagen;108
2021;Gösgen;SO;Schwere Motorwagen;109
2022;Gösgen;SO;Schwere Motorwagen;107
2023;Gösgen;SO;Schwere Motorwagen;108
1990;Gösgen;SO;Anhänger;653
1991;Gösgen;SO;Anhänger;669
1992;Gösgen;SO;Anhänger;657
1993;Gösgen;SO;Anhänger;675
1994;Gösgen;SO;Anhänger;703
1995;Gösgen;SO;Anhänger;713
1996;Gösgen;SO;Anhänger;698
1997;Gösgen;SO;Anhänger;682
1998;Gösgen;SO;Anhänger;696
1999;Gösgen;SO;Anhänger;701
2000;Gösgen;SO;Anhänger;694
2001;Gösgen;SO;Anhänger;714
2002;Gösgen;SO;Anhänger;744
2003;Gösgen;SO;Anhänger;764
2004;Gösgen;SO;Anhänger;791
2005;Gösgen;SO;Anhänger;809
2006;Gösgen;SO;Anhänger;794
2007;Gösgen;SO;Anhänger;821
2008;Gösgen;SO;Anhänger;816
2009;Gösgen;SO;Anhänger;839
2010;Gösgen;SO;Anhänger;853
2011;Gösgen;SO;Anhänger;866
2012;Gösgen;SO;Anhänger;854
2013;Gösgen;SO;Anhänger;842
2014;Gösgen;SO;Anhänger;874
2015;Gösgen;SO;Anhänger;892
2016;Gösgen;SO;Anhänger;912
2017;Gösgen;SO;Anhänger;946
2018;Gösgen;SO;Anhänger;933
2019;Gösgen;SO;Anhänger;945
2020;Gösgen;SO;Anhänger;966
2021;Gösgen;SO;Anhänger;990
2022;Gösgen;SO;Anhänger;998
2023;Gösgen;SO;Anhänger;1014
1990;Gösgen;SO;Landw. FZ Ind. Trak.;271
1991;Gösgen;SO;Landw. FZ Ind. Trak.;281
1992;Gösgen;SO;Landw. FZ Ind. Trak.;285
1993;Gösgen;SO;Landw. FZ Ind. Trak.;287
1994;Gösgen;SO;Landw. FZ Ind. Trak.;295
1995;Gösgen;SO;Landw. FZ Ind. Trak.;300
1996;Gösgen;SO;Landw. FZ Ind. Trak.;310
1997;Gösgen;SO;Landw. FZ Ind. Trak.;317
1998;Gösgen;SO;Landw. FZ Ind. Trak.;318
1999;Gösgen;SO;Landw. FZ Ind. Trak.;325
2000;Gösgen;SO;Landw. FZ Ind. Trak.;321
2001;Gösgen;SO;Landw. FZ Ind. Trak.;328
2002;Gösgen;SO;Landw. FZ Ind. Trak.;336
2003;Gösgen;SO;Landw. FZ Ind. Trak.;347
2004;Gösgen;SO;Landw. FZ Ind. Trak.;356
2005;Gösgen;SO;Landw. FZ Ind. Trak.;364
2006;Gösgen;SO;Landw. FZ Ind. Trak.;372
2007;Gösgen;SO;Landw. FZ Ind. Trak.;382
2008;Gösgen;SO;Landw. FZ Ind. Trak.;389
2009;Gösgen;SO;Landw. FZ Ind. Trak.;396
2010;Gösgen;SO;Landw. FZ Ind. Trak.;399
2011;Gösgen;SO;Landw. FZ Ind. Trak.;400
2012;Gösgen;SO;Landw. FZ Ind. Trak.;395
2013;Gösgen;SO;Landw. FZ Ind. Trak.;397
2014;Gösgen;SO;Landw. FZ Ind. Trak.;408
2015;Gösgen;SO;Landw. FZ Ind. Trak.;414
2016;Gösgen;SO;Landw. FZ Ind. Trak.;421
2017;Gösgen;SO;Landw. FZ Ind. Trak.;427
2018;Gösgen;SO;Landw. FZ Ind. Trak.;431
2019;Gösgen;SO;Landw. FZ Ind. Trak.;428
2020;Gösgen;SO;Landw. FZ Ind. Trak.;435
2021;Gösgen;SO;Landw. FZ Ind. Trak.;444
2022;Gösgen;SO;Landw. FZ Ind. Trak.;449
2023;Gösgen;SO;Landw. FZ Ind. Trak.;458
1990;Gösgen;SO;Motorräder;1112
1991;Gösgen;SO;Motorräder;1139
1992;Gösgen;SO;Motorräder;1123
1993;Gösgen;SO;Motorräder;1165
1994;Gösgen;SO;Motorräder;1200
1995;Gösgen;SO;Motorräder;1238
1996;Gösgen;SO;Motorräder;1282
1997;Gösgen;SO;Motorräder;1304
1998;Gösgen;SO;Motorräder;1294
1999;Gösgen;SO;Motorräder;1336
2000;Gösgen;SO;Motorräder;1389
2001;Gösgen;SO;Motorräder;1427
2002;Gösgen;SO;Motorräder;1435
2003;Gösgen;SO;Motorräder;1470
2004;Gösgen;SO;Motorräder;1447
2005;Gösgen;SO;Motorräder;1482
2006;Gösgen;SO;Motorräder;1516
2007;Gösgen;SO;Motorräder;1498
2008;Gösgen;SO;Motorräder;1540
2009;Gösgen;SO;Motorräder;1557
2010;Gösgen;SO;Motorräder;1607
2011;Gösgen;SO;Motorräder;1587
2012;Gösgen;SO;Motorräder;1624
2013;Gösgen;SO;Motorräder;1606
2014;Gösgen;SO;Motorräder;1628
2015;Gösgen;SO;Motorräder;1651
2016;Gösgen;SO;Motorräder;1677
2017;Gösgen;SO;Motorräder;1709
2018;Gösgen;SO;Motorräder;1742
2019;Gösgen;SO;Motorräder;1778
2020;Gösgen;SO;Motorräder;1794
2021;Gösgen;SO;Motorräder;1806
2022;Gösgen;SO;Motorräder;1789
2023;Gösgen;SO;Motorräder;1770
1990;Gösgen;SO;Klein-Motorräder;43
1991;Gösgen;SO;Klein-Motorräder;44
1992;Gösgen;SO;Klein-Motorräder;45
1993;Gösgen;SO;Klein-Motorräder;46
1994;Gösgen;SO;Klein-Motorräder;47
1995;Gösgen;SO;Klein-Motorräder;48
1996;Gösgen;SO;Klein-Motorräder;49
1997;Gösgen;SO;Klein-Motorräder;49
1998;Gösgen;SO;Klein-Motorräder;50
1999;Gösgen;SO;Klein-Motorräder;51
2000;Gösgen;SO;Klein-Motorräder;52
2001;Gösgen;SO;Klein-Motorräder;51
2002;Gösgen;SO;Klein-Motorräder;52
2003;Gösgen;SO;Klein-Motorräder;51
2004;Gösgen;SO;Klein-Motorräder;52
2005;Gösgen;SO;Klein-Motorräder;53
2006;Gösgen;SO;Klein-Motorräder;54
2007;Gösgen;SO;Klein-Motorräder;55
2008;Gösgen;SO;Klein-Motorräder;54
2009;Gösgen;SO;Klein-Motorräder;56
2010;Gösgen;SO;Klein-Motorräder;56
2011;Gösgen;SO;Klein-Motorräder;57
2012;Gösgen;SO;Klein-Motorräder;58
2013;Gösgen;SO;Klein-Motorräder;59
2014;Gösgen;SO;Klein-Motorräder;60
2015;Gösgen;SO;Klein-Motorräder;60
2016;Gösgen;SO;Klein-Motorräder;61
2017;Gösgen;SO;Klein-Motorräder;62
2018;Gösgen;SO;Klein-Motorräder;63
2019;Gösgen;SO;Klein-Motorräder;64
2020;Gösgen;SO;Klein-Motorräder;65
2021;Gösgen;SO;Klein-Motorräder;66
2022;Gösgen;SO;Klein-Motorräder;67
2023;Gösgen;SO;Klein-Motorräder;68
1990;Gösgen;SO;Gewerbe FZ;89
1991;Gösgen;SO;Gewerbe FZ;91
1992;Gösgen;SO;Gewerbe FZ;93
1993;Gösgen;SO;Gewerbe FZ;96
1994;Gösgen;SO;Gewerbe FZ;100
1995;Gösgen;SO;Gewerbe FZ;102
1996;Gösgen;SO;Gewerbe FZ;104
1997;Gösgen;SO;Gewerbe FZ;106
1998;Gösgen;SO;Gewerbe FZ;104
1999;Gösgen;SO;Gewerbe FZ;105
2000;Gösgen;SO;Gewerbe FZ;107
2001;Gösgen;SO;Gewerbe FZ;110
2002;Gösgen;SO;Gewerbe FZ;112
2003;Gösgen;SO;Gewerbe FZ;115
2004;Gösgen;SO;Gewerbe FZ;118
2005;Gösgen;SO;Gewerbe FZ;121
2006;Gösgen;SO;Gewerbe FZ;124
2007;Gösgen;SO;Gewerbe FZ;122
2008;Gösgen;SO;Gewerbe FZ;124
2009;Gösgen;SO;Gewerbe FZ;126
2010;Gösgen;SO;Gewerbe FZ;128
2011;Gösgen;SO;Gewerbe FZ;130
2012;Gösgen;SO;Gewerbe FZ;130
2013;Gösgen;SO;Gewerbe FZ;132
2014;Gösgen;SO;Gewerbe FZ;133
2015;Gösgen;SO;Gewerbe FZ;135
2016;Gösgen;SO;Gewerbe FZ;136
2017;Gösgen;SO;Gewerbe FZ;139
2018;Gösgen;SO;Gewerbe FZ;141
2019;Gösgen;SO;Gewerbe FZ;145
2020;Gösgen;SO;Gewerbe FZ;145
2021;Gösgen;SO;Gewerbe FZ;147
2022;Gösgen;SO;Gewerbe FZ;149
2023;Gösgen;SO;Gewerbe FZ;151
